Sr No.,Company Name,Job Title,Salaries Reported,Location,Salary
1,Mu Sigma,Data Scientist,105,Bangalore,648573
2,IBM,Data Scientist,95,Bangalore,1191950
3,Tata Consultancy Services,Data Scientist,66,Bangalore,836874
4,Impact Analytics,Data Scientist,40,Bangalore,669578
5,Accenture,Data Scientist,32,Bangalore,944110
6,Infosys,Data Scientist,30,Bangalore,908764
7,Capgemini,Data Scientist,28,Bangalore,926124
8,Cognizant Technology Solutions,Data Scientist,26,Bangalore,736708
9,Anheuser-Busch InBev,Data Scientist,25,Bangalore,1646721
10,Fractal,Data Scientist,22,Bangalore,1392960
11,Embibe,Data Scientist,20,Bangalore,1404773
12,Amazon,Data Scientist,19,Bangalore,1507343
13,Google,Data Scientist,19,Bangalore,1558095
14,Flipkart,Data Scientist,18,Bangalore,2557843
15,HP Inc.,Data Scientist,16,Bangalore,1510081
16,Wipro,Data Scientist,15,Bangalore,732821
17,Ericsson-Worldwide,Data Scientist,15,Bangalore,1221750
18,MiQ,Data Scientist,15,Bangalore,1739484
19,Deloitte,Data Scientist,14,Bangalore,1124939
20,Microsoft,Data Scientist,14,Bangalore,1630396
21,Genpact,Data Scientist,14,Bangalore,1009436
22,Fresher,Data Scientist,14,Bangalore,550980
23,Société Générale,Data Scientist,13,Bangalore,1870000
24,Flutura,Data Scientist,13,Bangalore,758376
25,Fuzzy Logix,Data Scientist,13,Bangalore,1556575
26,DXC Technology,Data Scientist,12,Bangalore,1194327
27,Jio,Data Scientist,11,Bangalore,1470000
28,Honeywell,Data Scientist,10,Bangalore,1549942
29,Affine,Data Scientist,10,Bangalore,1009436
30,Philips,Data Scientist,9,Bangalore,1541572
31,Bharat Light & Power,Data Scientist,9,Bangalore,811182
32,Antuit,Data Scientist,9,Bangalore,1205874
33,Nielsen,Data Scientist,9,Bangalore,727111
34,[24]7.ai,Data Scientist,9,Bangalore,1923257
35,Fidelity Investments,Data Scientist,9,Bangalore,2143501
36,Myntra,Data Scientist,9,Bangalore,1926965
37,First Student,Data Scientist,9,Bangalore,495252
38,Oracle,Data Scientist,8,Bangalore,1294984
39,Ola,Data Scientist,8,Bangalore,2334960
40,Walmart Global Tech,Data Scientist,8,Bangalore,2267616
41,Tredence,Data Scientist,8,Bangalore,1366992
42,Intel Corporation,Data Scientist,8,Bangalore,1453427
43,Mercedes-Benz Research and Development India,Data Scientist,8,Bangalore,1458032
44,SAP,Data Scientist,8,Bangalore,1730166
45,Wipro Technologies,Data Scientist,8,Bangalore,658109
46,Thoucentric,Data Scientist,8,Bangalore,794460
47,Walmart,Data Scientist,8,Bangalore,2567381
48,Brillio,Data Scientist,8,Bangalore,1637231
49,Great Learning,Data Scientist,7,Bangalore,900000
50,Gramener,Data Scientist,7,Bangalore,902935
51,HCL Technologies,Data Scientist,7,Bangalore,970782
52,Happiest Minds Technologies,Data Scientist,7,Bangalore,1050000
53,Hewlett Packard Enterprise | HPE,Data Scientist,7,Bangalore,2119584
54,Noodle.ai,Data Scientist,7,Bangalore,1687111
55,Cisco Systems,Data Scientist,7,Bangalore,1465641
56,INSOFE,Data Scientist,7,Bangalore,600000
57,Optum,Data Scientist,7,Bangalore,1805869
58,Adobe,Data Scientist,6,Bangalore,2624063
59,ABB,Data Scientist,6,Bangalore,955297
60,EY,Data Scientist,6,Bangalore,761478
61,Swiggy,Data Scientist,6,Bangalore,2805476
62,Subex,Data Scientist,6,Bangalore,969112
63,iNeuron,Data Scientist,6,Bangalore,450979
64,ZS Associates,Data Scientist,6,Bangalore,1338795
65,Robert Bosch India,Data Scientist,6,Bangalore,1040493
66,Scienaptic Systems,Data Scientist,6,Bangalore,1291549
67,FlyNava Technologies,Data Scientist,6,Bangalore,599136
68,Nokia,Data Scientist,6,Bangalore,1663189
69,UnitedHealth Group,Data Scientist,6,Bangalore,1323387
70,Sigmoid Analytics,Data Scientist,6,Bangalore,1246266
71,Idexcel,Data Scientist,6,Bangalore,494147
72,Citi,Data Scientist,5,Bangalore,1892758
73,GE Healthcare,Data Scientist,5,Bangalore,1572054
74,SigTuple,Data Scientist,5,Bangalore,2024533
75,Dell Technologies,Data Scientist,5,Bangalore,1927564
76,iNeuron,Data Scientist,5,Bangalore,800000
77,Ericsson IT Solutions & Services,Data Scientist,5,Bangalore,2009790
78,Aptus Data Labs,Data Scientist,5,Bangalore,831462
79,UniQreate,Data Scientist,5,Bangalore,516323
80,LinkedIn,Data Scientist,5,Bangalore,2333241
81,Apexon,Data Scientist,5,Bangalore,1200000
82,Shadowfax Technologies,Data Scientist,5,Bangalore,2006522
83,Bharti Airtel,Data Scientist,5,Bangalore,2160000
84,Applied Materials,Data Scientist,5,Bangalore,1341316
85,FICO,Data Scientist,5,Bangalore,1634105
86,YouPlus,Data Scientist,5,Bangalore,1389256
87,Mphasis,Data Scientist,5,Bangalore,1000000
88,Target,Data Scientist,5,Bangalore,1231116
89,Gojek,Data Scientist,5,Bangalore,2352941
90,Blueocean Market Intelligence,Data Scientist,5,Bangalore,744551
91,CRED,Data Scientist,5,Bangalore,3014686
92,Rolls-Royce,Data Scientist,5,Bangalore,1357204
93,Curl Analytics,Data Scientist,4,Bangalore,1053196
94,J.P. Morgan,Data Scientist,4,Bangalore,1337606
95,Knowledge Lens,Data Scientist,4,Bangalore,585900
96,IBM,Data Scientist,4,Bangalore,395436
97,ascena,Data Scientist,4,Bangalore,1649930
98,QuantZig,Data Scientist,4,Bangalore,1138060
99,Baker Hughes,Data Scientist,4,Bangalore,1612744
100,Everlytics,Data Scientist,4,Bangalore,432776
101,Siemens,Data Scientist,4,Bangalore,987471
102,ANZ Bank,Data Scientist,4,Bangalore,1512297
103,Lowe's Home Improvement,Data Scientist,4,Bangalore,1752935
104,Nones,Data Scientist,4,Bangalore,1197944
105,Bristlecone,Data Scientist,4,Bangalore,923544
106,Altimetrik,Data Scientist,4,Bangalore,587146
107,Head Digital Works,Data Scientist,4,Bangalore,977543
108,Artivatic Data Labs,Data Scientist,4,Bangalore,649755
109,HDFC Standard Life Insurance,Data Scientist,4,Bangalore,1177531
110,AntWorks,Data Scientist,4,Bangalore,1194925
111,American Express,Data Scientist,4,Bangalore,1693208
112,ITC Infotech,Data Scientist,4,Bangalore,414817
113,Aidetic,Data Scientist,4,Bangalore,704193
114,NeenOpal,Data Scientist,4,Bangalore,590000
115,Knowledge Foundry,Data Scientist,4,Bangalore,1119069
116,Mindtree,Data Scientist,4,Bangalore,669225
117,Nones,Data Scientist,3,Bangalore,1013978
118,TVS Motor Company,Data Scientist,3,Bangalore,1252803
119,XYZ,Data Scientist,3,Bangalore,840000
120,ShieldSquare,Data Scientist,3,Bangalore,761610
121,Tech Data,Data Scientist,3,Bangalore,1200000
122,Publicis Sapient,Data Scientist,3,Bangalore,1670405
123,Hinduja Global Solutions,Data Scientist,3,Bangalore,1284643
124,GE Digital,Data Scientist,3,Bangalore,1653106
125,GlobusSoft,Data Scientist,3,Bangalore,385393
126,MakeMyTrip,Data Scientist,3,Bangalore,1200000
127,Artificial Learning Systems,Data Scientist,3,Bangalore,1124740
128,Dailyhunt,Data Scientist,3,Bangalore,2600000
129,Draup,Data Scientist,3,Bangalore,1859109
130,SwitchOn,Data Scientist,3,Bangalore,669785
131,PwC,Data Scientist,3,Bangalore,1205874
132,Innodatatics,Data Scientist,3,Bangalore,128460
133,Robert Bosch,Data Scientist,3,Bangalore,1180355
134,Two Roads Tech,Data Scientist,3,Bangalore,3812913
135,ExxonMobil,Data Scientist,3,Bangalore,2873437
136,Bidgely,Data Scientist,3,Bangalore,1438481
137,IQVIA,Data Scientist,3,Bangalore,899123
138,ShareChat,Data Scientist,3,Bangalore,2300000
139,Course5 Intelligence,Data Scientist,3,Bangalore,825077
140,MAERSK,Data Scientist,3,Bangalore,2207174
141,Caterpillar,Data Scientist,3,Bangalore,1526335
142,Bepec Solutions,Data Scientist,3,Bangalore,600000
143,NetApp,Data Scientist,3,Bangalore,2875549
144,Exposys Data Labs,Data Scientist,3,Bangalore,433440
145,Spoonshot,Data Scientist,3,Bangalore,1615535
146,InMobi,Data Scientist,3,Bangalore,1700000
147,Swiss Re,Data Scientist,3,Bangalore,1352802
148,TheMathCompany,Data Scientist,3,Bangalore,600000
149,Shell,Data Scientist,3,Bangalore,2148775
150,Flip Robo,Data Scientist,3,Bangalore,306972
151,HCL,Data Scientist,3,Bangalore,347924
152,upGrad,Data Scientist,3,Bangalore,1284643
153,Legato Health Technologies,Data Scientist,3,Bangalore,1200000
154,Terra Economics and Analytics Lab,Data Scientist,3,Bangalore,720000
155,HDFC Bank,Data Scientist,3,Bangalore,1105385
156,Halodoc,Data Scientist,3,Bangalore,1879205
157,Analytical Wizards,Data Scientist,3,Bangalore,600000
158,PayPal,Data Scientist,3,Bangalore,273000
159,GE,Data Scientist,3,Bangalore,1007628
160,Manthan,Data Scientist,3,Bangalore,1254416
161,Visa Inc.,Data Scientist,3,Bangalore,324000
162,Tech Mahindra,Data Scientist,3,Bangalore,1500000
163,Data Semantics,Data Scientist,3,Bangalore,362209
164,GE Aviation,Data Scientist,3,Bangalore,1349689
165,Landmark Group,Data Scientist,3,Bangalore,1605804
166,Neustar,Data Scientist,3,Bangalore,1923665
167,Axis Bank,Data Scientist,3,Bangalore,1171687
168,Comviva,Data Scientist,3,Bangalore,900000
169,iQuanti,Data Scientist,3,Bangalore,2046452
170,Mercedes-Benz International,Data Scientist,2,Bangalore,1118808
171,Zoom Video Communications,Data Scientist,2,Bangalore,2839076
172,Money View,Data Scientist,2,Bangalore,1438576
173,nference,Data Scientist,2,Bangalore,1930235
174,KrazyBee,Data Scientist,2,Bangalore,1149607
175,Applied Materials,Data Scientist,2,Bangalore,1407768
176,Mavenir,Data Scientist,2,Bangalore,961306
177,Molecular Connections,Data Scientist,2,Bangalore,516564
178,Yodlee,Data Scientist,2,Bangalore,2315641
179,NovelSynth Soft Solutions,Data Scientist,2,Bangalore,245580
180,Locus,Data Scientist,2,Bangalore,2472920
181,IVYTEL Technologies,Data Scientist,2,Bangalore,496798
182,Sumyag,Data Scientist,2,Bangalore,770664
183,Wabtec,Data Scientist,2,Bangalore,2420967
184,VMware,Data Scientist,2,Bangalore,2079353
185,Wipro Digital,Data Scientist,2,Bangalore,1207396
